"Tensor","Kernel","Front-Ends","Language Design","Hardware Design","Formal Semantics"
1,1,,,,
1,1,1,1,,
,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,1,,,
1,1,1,1,,
1,1,1,,,
1,,1,,,
1,,1,,,
,,1,,,
1,1,,,,
,1,1,,,
1,1,,,,
,1,1,1,,
1,1,,,,
,,1,,1,
1,1,,,,
1,1,,,,
1,1,,,,
,,,,,1
1,1,1,,,
1,1,1,,1,
1,,1,,,
1,1,,,,
1,1,1,1,1,
1,,,,,
,,1,1,,
1,1,,,,
1,1,,,,
1,1,1,,,
1,1,,,,
1,,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,1,1,,
1,1,1,1,,
,,1,,,
1,1,,,,
,,1,,,
,1,1,,,
,1,1,,,
1,1,1,,,
1,1,1,1,,
,,1,1,1,1
,1,,,,
,,1,1,1,1
,,1,1,,
,,,,1,
1,1,1,1,1,1
1,1,1,,,
1,1,1,,,1
,1,1,,,
1,1,,,,
,1,1,1,,
1,1,1,1,,1
,,,,,
,1,1,,,
,1,1,,,
1,1,,1,,
1,1,1,1,,1
1,1,,,,
1,1,1,,,
,,,,1,
1,1,,,,
1,1,1,,,
1,1,,,,
1,,1,1,,
,,1,1,,1
1,1,,,,
1,1,,,,
1,1,,,,
,1,,,,
1,1,,,,1
1,1,,,,
1,1,,,,
1,1,,1,,
1,,,,,
1,1,,,,
1,1,1,1,,
1,1,,,,
1,1,,,,
,,,,,
1,,1,,,
1,1,1,,,
